uei,start,end,state,location,deaths
UEI-IMD-FL-1995-0006,1995-06-16,1995-06-22,Arunachal Pradesh,,
UEI-IMD-FL-1995-0118,1995-06-18,1995-06-18,Tripura,,1.0
UEI-IMD-FL-1995-0074,1995-06-19,1995-06-19,Meghalaya,,12.0
UEI-IMD-FL-1995-0132,1995-06-20,1995-06-20,West Bengal,,
UEI-IMD-FL-1995-0133,1995-06-25,1995-06-25,West Bengal,,
UEI-IMD-FL-1995-0046,1995-06-29,1995-06-29,Kerala,,
UEI-IMD-FL-1995-0064,1995-06-29,1995-06-29,Maharashtra,,
UEI-IMD-FL-1995-0134,1995-06-29,1995-06-29,West Bengal,,5.0
UEI-IMD-FL-1995-0012,1995-07-04,1995-07-18,Assam,,37.0
UEI-IMD-FL-1995-0028,1995-07-05,1995-07-05,Himachal Pradesh,,2.0
UEI-IMD-FL-1995-0047,1995-07-05,1995-07-12,Kerala,,
UEI-IMD-FL-1995-0135,1995-07-05,1995-07-05,West Bengal,,
UEI-IMD-FL-1995-0136,1995-07-05,1995-07-11,West Bengal,,
UEI-IMD-FL-1995-0007,1995-07-07,1995-07-07,Arunachal Pradesh,,
UEI-IMD-FL-1995-0015,1995-07-08,1995-07-14,Bihar,,
UEI-IMD-FL-1995-0065,1995-07-08,1995-07-08,Maharashtra,,
UEI-IMD-FL-1995-0029,1995-07-09,1995-07-12,Himachal Pradesh,,7.0
UEI-IMD-FL-1995-0008,1995-07-10,1995-07-10,Arunachal Pradesh,,5.0
UEI-IMD-FL-1995-0097,1995-07-10,1995-07-10,Rajasthan,,
UEI-IMD-FL-1995-0137,1995-07-10,1995-07-10,West Bengal,,
UEI-IMD-FL-1995-0048,1995-07-14,1995-07-18,Kerala,,
UEI-IMD-FL-1995-0098,1995-07-15,1995-07-15,Rajasthan,,5.0
UEI-IMD-FL-1995-0099,1995-07-16,1995-07-16,Rajasthan,,22.0
UEI-IMD-FL-1995-0138,1995-07-16,1995-07-16,West Bengal,,
UEI-IMD-FL-1995-0030,1995-07-18,1995-07-18,Himachal Pradesh,,
UEI-IMD-FL-1995-0078,1995-07-18,1995-07-23,Odisha,,
UEI-IMD-FL-1995-0100,1995-07-18,1995-07-18,Rajasthan,,14.0
UEI-IMD-FL-1995-0066,1995-07-19,1995-07-19,Maharashtra,,
UEI-IMD-FL-1995-0101,1995-07-19,1995-07-19,Rajasthan,,5.0
UEI-IMD-FL-1995-0102,1995-07-20,1995-07-20,Rajasthan,,
UEI-IMD-FL-1995-0049,1995-07-21,1995-07-26,Kerala,,
UEI-IMD-FL-1995-0016,1995-07-22,1995-07-28,Bihar,,7.0
UEI-IMD-FL-1995-0067,1995-07-23,1995-07-23,Maharashtra,,6.0
UEI-IMD-FL-1995-0038,1995-07-25,1995-08-02,Jammu and Kashmir,,104.0
UEI-IMD-FL-1995-0055,1995-07-25,1995-07-28,Madhya Pradesh,,40.0
UEI-IMD-FL-1995-0021,1995-07-28,1995-07-28,Haryana,,
UEI-IMD-FL-1995-0031,1995-07-28,1995-07-28,Himachal Pradesh,,
UEI-IMD-FL-1995-0039,1995-07-28,1995-07-28,Karnataka,,6.0
UEI-IMD-FL-1995-0103,1995-07-28,1995-07-28,Rajasthan,,
UEI-IMD-FL-1995-0068,1995-08-01,1995-08-01,Maharashtra,,2.0
UEI-IMD-FL-1995-0104,1995-08-01,1995-08-07,Rajasthan,,
UEI-IMD-FL-1995-0032,1995-08-02,1995-08-03,Himachal Pradesh,,6.0
UEI-IMD-FL-1995-0079,1995-08-02,1995-08-02,Odisha,,
UEI-IMD-FL-1995-0022,1995-08-03,1995-08-03,Haryana,,
UEI-IMD-FL-1995-0139,1995-08-03,1995-08-03,West Bengal,,1.0
UEI-IMD-FL-1995-0157,1995-08-03,1995-08-03,Punjab,,
UEI-IMD-FL-1995-0050,1995-08-04,1995-08-04,Kerala,,
UEI-IMD-FL-1995-0033,1995-08-06,1995-08-06,Himachal Pradesh,,
UEI-IMD-FL-1995-0087,1995-08-06,1995-08-07,Punjab,,10.0
UEI-IMD-FL-1995-0105,1995-08-06,1995-08-06,Rajasthan,,
UEI-IMD-FL-1995-0034,1995-08-08,1995-08-14,Himachal Pradesh,,12.0
UEI-IMD-FL-1995-0056,1995-08-08,1995-08-08,Madhya Pradesh,,
UEI-IMD-FL-1995-0080,1995-08-08,1995-08-10,Odisha,,
UEI-IMD-FL-1995-0088,1995-08-08,1995-08-08,Punjab,,2.0
UEI-IMD-FL-1995-0106,1995-08-09,1995-08-13,Rajasthan,,10.0
UEI-IMD-FL-1995-0023,1995-08-10,1995-08-10,Haryana,,1.0
UEI-IMD-FL-1995-0089,1995-08-10,1995-08-10,Punjab,,1.0
UEI-IMD-FL-1995-0009,1995-08-12,1995-08-12,Arunachal Pradesh,,
UEI-IMD-FL-1995-0090,1995-08-12,1995-08-12,Punjab,,1.0
UEI-IMD-FL-1995-0140,1995-08-12,1995-08-12,West Bengal,,
UEI-IMD-FL-1995-0013,1995-08-13,1995-08-19,Assam,,5.0
UEI-IMD-FL-1995-0120,1995-08-14,1995-08-14,Uttar Pradesh,,10.0
UEI-IMD-FL-1995-0081,1995-08-15,1995-08-16,Odisha,,
UEI-IMD-FL-1995-0082,1995-08-16,1995-08-17,Odisha,,
UEI-IMD-FL-1995-0017,1995-08-17,1995-08-31,Bihar,,46.0
UEI-IMD-FL-1995-0091,1995-08-18,1995-08-18,Punjab,,
UEI-IMD-FL-1995-0057,1995-08-19,1995-08-19,Madhya Pradesh,,
UEI-IMD-FL-1995-0107,1995-08-19,1995-08-19,Rajasthan,,5.0
UEI-IMD-FL-1995-0108,1995-08-20,1995-08-21,Rajasthan,,9.0
UEI-IMD-FL-1995-0141,1995-08-21,1995-08-21,West Bengal,,2.0
UEI-IMD-FL-1995-0092,1995-08-22,1995-08-22,Punjab,,1.0
UEI-IMD-FL-1995-0123,1995-08-22,1995-09-14,Uttar Pradesh,,199.0
UEI-IMD-FL-1995-0058,1995-08-23,1995-08-23,Madhya Pradesh,,
UEI-IMD-FL-1995-0109,1995-08-28,1995-08-30,Rajasthan,,4.0
UEI-IMD-FL-1995-0024,1995-08-29,1995-08-30,Haryana,,9.0
UEI-IMD-FL-1995-0121,1995-08-29,1995-08-29,Uttar Pradesh,,5.0
UEI-IMD-FL-1995-0093,1995-08-30,1995-08-31,Punjab,,5.0
UEI-IMD-FL-1995-0035,1995-08-31,1995-08-31,Himachal Pradesh,,3.0
UEI-IMD-FL-1995-0069,1995-08-31,1995-08-31,Maharashtra,,5.0
UEI-IMD-FL-1995-0122,1995-08-31,1995-08-31,Uttar Pradesh,,
UEI-IMD-FL-1995-0002,1995-09-01,1995-09-01,Andhra Pradesh,,6.0
UEI-IMD-FL-1995-0070,1995-09-01,1995-09-01,Maharashtra,,7.0
UEI-IMD-FL-1995-0071,1995-09-01,1995-09-02,Maharashtra,,5.0
UEI-IMD-FL-1995-0051,1995-09-02,1995-09-03,Kerala,,2.0
UEI-IMD-FL-1995-0059,1995-09-03,1995-09-03,Madhya Pradesh,,
UEI-IMD-FL-1995-0124,1995-09-03,1995-09-03,Uttar Pradesh,,40.0
UEI-IMD-FL-1995-0142,1995-09-03,1995-09-03,West Bengal,,3.0
UEI-IMD-FL-1995-0003,1995-09-04,1995-09-04,Andhra Pradesh,,
UEI-IMD-FL-1995-0025,1995-09-04,1995-09-05,Haryana,,64.0
UEI-IMD-FL-1995-0110,1995-09-04,1995-09-05,Rajasthan,,10.0
UEI-IMD-FL-1995-0143,1995-09-04,1995-09-04,West Bengal,,2.0
UEI-IMD-FL-1995-0158,1995-09-04,1995-09-04,Delhi,,
UEI-IMD-FL-1995-0036,1995-09-05,1995-09-05,Himachal Pradesh,,19.0
UEI-IMD-FL-1995-0094,1995-09-05,1995-09-05,Punjab,,3.0
UEI-IMD-FL-1995-0144,1995-09-05,1995-09-05,West Bengal,,
UEI-IMD-FL-1995-0113,1995-09-06,1995-09-06,Sikkim,,24.0
UEI-IMD-FL-1995-0159,1995-09-06,1995-09-07,Delhi,,2.0
UEI-IMD-FL-1995-0115,1995-09-07,1995-09-11,Tamil Nadu,,
UEI-IMD-FL-1995-0111,1995-09-08,1995-09-08,Rajasthan,,1.0
UEI-IMD-FL-1995-0026,1995-09-09,1995-09-10,Haryana,,112.0
UEI-IMD-FL-1995-0095,1995-09-09,1995-09-09,Punjab,,7.0
UEI-IMD-FL-1995-0125,1995-09-09,1995-09-09,Uttar Pradesh,,3.0
UEI-IMD-FL-1995-0160,1995-09-09,1995-09-09,Delhi,,1.0
UEI-IMD-FL-1995-0112,1995-09-10,1995-09-10,Rajasthan,,
UEI-IMD-FL-1995-0145,1995-09-10,1995-09-10,West Bengal,,3.0
UEI-IMD-FL-1995-0037,1995-09-12,1995-09-14,Himachal Pradesh,,100.0
UEI-IMD-FL-1995-0096,1995-09-12,1995-09-13,Punjab,,20.0
UEI-IMD-FL-1995-0146,1995-09-12,1995-09-13,West Bengal,,
UEI-IMD-FL-1995-0147,1995-09-16,1995-09-16,West Bengal,,4.0
UEI-IMD-FL-1995-0072,1995-09-17,1995-09-17,Maharashtra,,1.0
UEI-IMD-FL-1995-0148,1995-09-17,1995-09-18,West Bengal,,2.0
UEI-IMD-FL-1995-0126,1995-09-19,1995-09-19,Uttar Pradesh,,14.0
UEI-IMD-FL-1995-0149,1995-09-26,1995-09-26,West Bengal,,1.0
UEI-IMD-FL-1995-0150,1995-09-26,1995-09-29,West Bengal,,18.0
UEI-IMD-FL-1995-0073,1995-09-27,1995-09-27,Maharashtra,,
UEI-IMD-FL-1995-0151,1995-09-27,1995-09-27,West Bengal,,2.0
UEI-IMD-FL-1995-0152,1995-09-27,1995-09-28,West Bengal,,9.0
UEI-IMD-FL-1995-0004,1995-10-01,1995-10-31,Andhra Pradesh,,119.0
UEI-IMD-FL-1995-0014,1995-10-01,1995-10-03,Assam,,
UEI-IMD-FL-1995-0052,1995-10-07,1995-10-07,Kerala,,1.0
UEI-IMD-FL-1995-0083,1995-10-07,1995-10-10,Odisha,,
UEI-IMD-FL-1995-0084,1995-10-07,1995-10-11,Odisha,,
UEI-IMD-FL-1995-0085,1995-10-08,1995-10-14,Odisha,,
UEI-IMD-FL-1995-0086,1995-10-08,1995-10-17,Odisha,,
UEI-IMD-FL-1995-0153,1995-10-08,1995-10-08,West Bengal,,
UEI-IMD-FL-1995-0154,1995-10-08,1995-10-09,West Bengal,,
UEI-IMD-FL-1995-0018,1995-10-09,1995-10-15,Bihar,,101.0
UEI-IMD-FL-1995-0053,1995-10-15,1995-10-28,Kerala,,
UEI-IMD-FL-1995-0054,1995-10-18,1995-10-19,Kerala,,
UEI-IMD-FL-1995-0116,1995-11-02,1995-11-08,Tamil Nadu,,14.0
UEI-IMD-FL-1995-0155,1995-11-09,1995-11-09,West Bengal,,1.0
UEI-IMD-FL-1995-0156,1995-11-10,1995-11-10,West Bengal,,2.0
UEI-IMD-FL-1995-0019,1995-12-23,1995-12-23,Bihar,,
UEI-IMD-FL-1996-0018,1996-01-16,1996-01-16,Bihar,,
UEI-IMD-FL-1996-0038,1996-02-24,1996-02-24,Jammu and Kashmir,,
UEI-IMD-FL-1996-0039,1996-03-16,1996-03-17,Jammu and Kashmir,,3.0
UEI-IMD-FL-1996-0029,1996-03-17,1996-03-17,Himachal Pradesh,,
UEI-IMD-FL-1996-0024,1996-03-21,1996-03-22,Haryana,,
UEI-IMD-FL-1996-0008,1996-05-12,1996-05-12,Assam,,
UEI-IMD-FL-1996-0009,1996-05-13,1996-05-14,Assam,,
UEI-IMD-FL-1996-0005,1996-05-14,1996-05-14,Arunachal Pradesh,,
UEI-IMD-FL-1996-0010,1996-05-15,1996-05-29,Assam,,
UEI-IMD-FL-1996-0011,1996-05-16,1996-05-16,Assam,,
UEI-IMD-FL-1996-0012,1996-05-21,1996-05-21,Assam,,
UEI-IMD-FL-1996-0013,1996-05-22,1996-05-22,Assam,,
UEI-IMD-FL-1996-0050,1996-06-03,1996-06-03,Kerala,,
UEI-IMD-FL-1996-0014,1996-06-08,1996-06-08,Assam,,
UEI-IMD-FL-1996-0068,1996-06-09,1996-06-09,Maharashtra,,4.0
UEI-IMD-FL-1996-0043,1996-06-13,1996-06-15,Karnataka,,29.0
UEI-IMD-FL-1996-0051,1996-06-13,1996-06-13,Kerala,,
UEI-IMD-FL-1996-0044,1996-06-14,1996-06-14,Karnataka,,9.0
UEI-IMD-FL-1996-0052,1996-06-14,1996-06-15,Kerala,,1.0
UEI-IMD-FL-1996-0069,1996-06-14,1996-06-18,Maharashtra,,
UEI-IMD-FL-1996-0102,1996-06-14,1996-06-15,Tamil Nadu,,14.0
UEI-IMD-FL-1996-0070,1996-06-15,1996-06-15,Maharashtra,,5.0
UEI-IMD-FL-1996-0053,1996-06-16,1996-06-22,Kerala,,24.0
UEI-IMD-FL-1996-0040,1996-06-17,1996-06-20,Jammu and Kashmir,,4.0
UEI-IMD-FL-1996-0054,1996-06-17,1996-06-17,Kerala,,
UEI-IMD-FL-1996-0062,1996-06-17,1996-06-19,Madhya Pradesh,,
UEI-IMD-FL-1996-0071,1996-06-17,1996-06-17,Maharashtra,,
UEI-IMD-FL-1996-0072,1996-06-18,1996-06-19,Maharashtra,,6.0
UEI-IMD-FL-1996-0022,1996-06-19,1996-06-20,Goa,,
UEI-IMD-FL-1996-0030,1996-06-19,1996-06-19,Himachal Pradesh,,2.0
UEI-IMD-FL-1996-0090,1996-06-19,1996-06-19,Punjab,,2.0
UEI-IMD-FL-1996-0114,1996-06-19,1996-06-20,West Bengal,,
UEI-IMD-FL-1996-0055,1996-06-20,1996-06-20,Kerala,,2.0
UEI-IMD-FL-1996-0095,1996-06-20,1996-06-26,Rajasthan,,58.0
UEI-IMD-FL-1996-0073,1996-06-21,1996-06-22,Maharashtra,,3.0
UEI-IMD-FL-1996-0041,1996-06-22,1996-06-28,Jammu and Kashmir,,15.0
UEI-IMD-FL-1996-0115,1996-06-23,1996-06-23,West Bengal,,1.0
UEI-IMD-FL-1996-0129,1996-06-24,1996-06-24,Delhi,,2.0
UEI-IMD-FL-1996-0130,1996-06-25,1996-06-25,Delhi,,8.0
UEI-IMD-FL-1996-0025,1996-06-26,1996-06-27,Haryana,,7.0
UEI-IMD-FL-1996-0091,1996-06-26,1996-06-26,Punjab,,
UEI-IMD-FL-1996-0031,1996-06-27,1996-06-27,Himachal Pradesh,,11.0
UEI-IMD-FL-1996-0006,1996-06-28,1996-07-12,Arunachal Pradesh,,
UEI-IMD-FL-1996-0020,1996-07-01,1996-07-31,Bihar,,25.0
UEI-IMD-FL-1996-0032,1996-07-01,1996-07-01,Himachal Pradesh,,2.0
UEI-IMD-FL-1996-0063,1996-07-01,1996-07-01,Madhya Pradesh,,2.0
UEI-IMD-FL-1996-0074,1996-07-02,1996-07-02,Maharashtra,,
UEI-IMD-FL-1996-0106,1996-07-02,1996-07-02,Tripura,,8.0
UEI-IMD-FL-1996-0075,1996-07-11,1996-07-11,Maharashtra,,1.0
UEI-IMD-FL-1996-0116,1996-07-12,1996-07-13,West Bengal,,100.0
UEI-IMD-FL-1996-0033,1996-07-14,1996-07-23,Himachal Pradesh,,7.0
UEI-IMD-FL-1996-0076,1996-07-15,1996-07-21,Maharashtra,,16.0
UEI-IMD-FL-1996-0117,1996-07-15,1996-07-21,West Bengal,,7.0
UEI-IMD-FL-1996-0007,1996-07-16,1996-07-16,Arunachal Pradesh,,
UEI-IMD-FL-1996-0107,1996-07-18,1996-07-18,Uttar Pradesh,,25.0
UEI-IMD-FL-1996-0019,1996-07-19,1996-07-20,Bihar,,
UEI-IMD-FL-1996-0056,1996-07-20,1996-07-21,Kerala,,
UEI-IMD-FL-1996-0089,1996-07-23,1996-07-23,Odisha,,
UEI-IMD-FL-1996-0108,1996-07-23,1996-07-23,Uttar Pradesh,,
UEI-IMD-FL-1996-0057,1996-07-24,1996-07-24,Kerala,,
UEI-IMD-FL-1996-0064,1996-07-24,1996-07-27,Madhya Pradesh,,8.0
UEI-IMD-FL-1996-0109,1996-07-24,1996-07-24,Uttar Pradesh,,5.0
UEI-IMD-FL-1996-0023,1996-07-26,1996-07-27,Gujarat,,4.0
UEI-IMD-FL-1996-0096,1996-07-26,1996-07-26,Rajasthan,,2.0
UEI-IMD-FL-1996-0015,1996-07-27,1996-07-31,Assam,,27.0
UEI-IMD-FL-1996-0087,1996-07-29,1996-07-29,Meghalaya,,7.0
UEI-IMD-FL-1996-0001,1996-08-01,1996-08-31,Andhra Pradesh,,68.0
UEI-IMD-FL-1996-0021,1996-08-01,1996-08-07,Bihar,,51.0
UEI-IMD-FL-1996-0047,1996-08-01,1996-08-31,Karnataka,,137.0
UEI-IMD-FL-1996-0026,1996-08-03,1996-08-03,Haryana,,
UEI-IMD-FL-1996-0034,1996-08-03,1996-08-03,Himachal Pradesh,,2.0
UEI-IMD-FL-1996-0092,1996-08-03,1996-08-03,Punjab,,
UEI-IMD-FL-1996-0065,1996-08-04,1996-08-04,Madhya Pradesh,,2.0
UEI-IMD-FL-1996-0066,1996-08-05,1996-08-05,Madhya Pradesh,,
UEI-IMD-FL-1996-0097,1996-08-06,1996-08-06,Rajasthan,,2.0
UEI-IMD-FL-1996-0118,1996-08-07,1996-08-07,West Bengal,,
UEI-IMD-FL-1996-0058,1996-08-08,1996-08-08,Kerala,,
UEI-IMD-FL-1996-0119,1996-08-09,1996-08-10,West Bengal,,2.0
UEI-IMD-FL-1996-0027,1996-08-10,1996-08-15,Haryana,,
UEI-IMD-FL-1996-0045,1996-08-11,1996-08-11,Karnataka,,2.0
UEI-IMD-FL-1996-0016,1996-08-12,1996-09-03,Assam,,7.0
UEI-IMD-FL-1996-0059,1996-08-12,1996-08-12,Kerala,,
UEI-IMD-FL-1996-0035,1996-08-13,1996-08-13,Himachal Pradesh,,2.0
UEI-IMD-FL-1996-0110,1996-08-13,1996-08-19,Uttar Pradesh,,10.0
UEI-IMD-FL-1996-0120,1996-08-13,1996-08-15,West Bengal,,
UEI-IMD-FL-1996-0036,1996-08-15,1996-08-15,Himachal Pradesh,,
UEI-IMD-FL-1996-0093,1996-08-18,1996-08-18,Punjab,,
UEI-IMD-FL-1996-0042,1996-08-21,1996-08-26,Jammu and Kashmir,,241.0
UEI-IMD-FL-1996-0067,1996-08-21,1996-08-24,Madhya Pradesh,,2.0
UEI-IMD-FL-1996-0111,1996-08-21,1996-08-21,Uttar Pradesh,,18.0
UEI-IMD-FL-1996-0121,1996-08-21,1996-08-21,West Bengal,,1.0
UEI-IMD-FL-1996-0112,1996-08-22,1996-08-23,Uttar Pradesh,,
UEI-IMD-FL-1996-0060,1996-08-23,1996-08-23,Kerala,,
UEI-IMD-FL-1996-0098,1996-08-23,1996-08-25,Rajasthan,,
UEI-IMD-FL-1996-0077,1996-08-25,1996-08-25,Maharashtra,,
UEI-IMD-FL-1996-0046,1996-08-26,1996-08-26,Karnataka,,
UEI-IMD-FL-1996-0078,1996-08-27,1996-08-27,Maharashtra,,
UEI-IMD-FL-1996-0122,1996-08-27,1996-08-27,West Bengal,,
UEI-IMD-FL-1996-0079,1996-08-29,1996-08-29,Maharashtra,,7.0
UEI-IMD-FL-1996-0123,1996-08-30,1996-08-30,West Bengal,,
UEI-IMD-FL-1996-0124,1996-08-31,1996-08-31,West Bengal,,6.0
UEI-IMD-FL-1996-0002,1996-09-01,1996-09-30,Andhra Pradesh,,33.0
UEI-IMD-FL-1996-0080,1996-09-04,1996-09-04,Maharashtra,,
UEI-IMD-FL-1996-0099,1996-09-05,1996-09-05,Rajasthan,,1.0
UEI-IMD-FL-1996-0028,1996-09-08,1996-09-10,Haryana,,1.0
UEI-IMD-FL-1996-0037,1996-09-08,1996-09-09,Himachal Pradesh,,3.0
UEI-IMD-FL-1996-0100,1996-09-08,1996-09-09,Rajasthan,,13.0
UEI-IMD-FL-1996-0094,1996-09-09,1996-09-09,Punjab,,1.0
UEI-IMD-FL-1996-0081,1996-09-10,1996-09-15,Maharashtra,,8.0
UEI-IMD-FL-1996-0061,1996-09-11,1996-09-11,Kerala,,
UEI-IMD-FL-1996-0113,1996-09-13,1996-09-13,Uttar Pradesh,,1.0
UEI-IMD-FL-1996-0048,1996-09-22,1996-09-28,Karnataka,,
UEI-IMD-FL-1996-0082,1996-09-26,1996-10-05,Maharashtra,,34.0
UEI-IMD-FL-1996-0125,1996-09-26,1996-09-27,West Bengal,,1.0
UEI-IMD-FL-1996-0126,1996-09-27,1996-09-27,West Bengal,,
UEI-IMD-FL-1996-0003,1996-10-01,1996-10-03,Andhra Pradesh,,61.0
UEI-IMD-FL-1996-0049,1996-10-01,1996-10-02,Karnataka,,15.0
UEI-IMD-FL-1996-0083,1996-10-02,1996-10-02,Maharashtra,,4.0
UEI-IMD-FL-1996-0084,1996-10-05,1996-10-05,Maharashtra,,4.0
UEI-IMD-FL-1996-0101,1996-10-05,1996-10-05,Sikkim,,7.0
UEI-IMD-FL-1996-0088,1996-10-08,1996-10-08,Mizoram,,
UEI-IMD-FL-1996-0086,1996-10-15,1996-10-21,Maharashtra,,
UEI-IMD-FL-1996-0004,1996-10-17,1996-10-21,Andhra Pradesh,,338.0
UEI-IMD-FL-1996-0103,1996-10-17,1996-10-19,Tamil Nadu,,21.0
UEI-IMD-FL-1996-0128,1996-10-21,1996-10-21,Punjab,,
UEI-IMD-FL-1996-0085,1996-10-22,1996-10-22,Maharashtra,,1.0
UEI-IMD-FL-1996-0127,1996-10-28,1996-10-29,West Bengal,,27.0
UEI-IMD-FL-1996-0017,1996-10-29,1996-10-29,Assam,,
UEI-IMD-FL-1996-0104,1996-11-17,1996-11-28,Tamil Nadu,,5.0
UEI-IMD-FL-1996-0105,1996-12-12,1996-12-18,Tamil Nadu,,135.0
UEI-IMD-FL-1997-0052,1997-01-12,1997-01-12,Maharashtra,,
UEI-IMD-FL-1997-0053,1997-01-17,1997-01-17,Maharashtra,,1.0
UEI-IMD-FL-1997-0001,1997-03-18,1997-03-18,Andhra Pradesh,,
UEI-IMD-FL-1997-0054,1997-04-02,1997-04-02,Maharashtra,,1.0
UEI-IMD-FL-1997-0055,1997-04-25,1997-04-25,Maharashtra,,5.0
UEI-IMD-FL-1997-0031,1997-04-30,1997-05-01,Karnataka,,3.0
UEI-IMD-FL-1997-0040,1997-05-07,1997-05-07,Kerala,,
UEI-IMD-FL-1997-0110,1997-05-08,1997-05-08,Tripura,,1.0
UEI-IMD-FL-1997-0032,1997-05-13,1997-05-13,Karnataka,,
UEI-IMD-FL-1997-0008,1997-05-17,1997-05-17,Assam,,
UEI-IMD-FL-1997-0009,1997-06-01,1997-06-01,Assam,,
UEI-IMD-FL-1997-0006,1997-06-03,1997-06-03,Arunachal Pradesh,,
UEI-IMD-FL-1997-0105,1997-06-08,1997-06-10,Sikkim,,75.0
UEI-IMD-FL-1997-0010,1997-06-10,1997-06-30,Assam,,1.0
UEI-IMD-FL-1997-0056,1997-06-11,1997-06-11,Maharashtra,,
UEI-IMD-FL-1997-0057,1997-06-14,1997-06-14,Maharashtra,,2.0
UEI-IMD-FL-1997-0058,1997-06-17,1997-06-17,Maharashtra,,
UEI-IMD-FL-1997-0007,1997-06-18,1997-06-19,Arunachal Pradesh,,8.0
UEI-IMD-FL-1997-0059,1997-06-18,1997-06-23,Maharashtra,,16.0
UEI-IMD-FL-1997-0143,1997-06-19,1997-06-19,Delhi,,2.0
UEI-IMD-FL-1997-0060,1997-06-21,1997-06-21,Maharashtra,,1.0
UEI-IMD-FL-1997-0019,1997-06-22,1997-06-28,Gujarat,,172.0
UEI-IMD-FL-1997-0092,1997-06-23,1997-06-23,Meghalaya,,
UEI-IMD-FL-1997-0142,1997-06-26,1997-06-26,Punjab,,5.0
UEI-IMD-FL-1997-0033,1997-06-27,1997-06-27,Karnataka,,1.0
UEI-IMD-FL-1997-0120,1997-06-28,1997-07-01,West Bengal,,
UEI-IMD-FL-1997-0061,1997-06-29,1997-06-29,Maharashtra,,1.0
UEI-IMD-FL-1997-0095,1997-06-29,1997-06-29,Odisha,,
UEI-IMD-FL-1997-0121,1997-06-29,1997-06-29,West Bengal,,
UEI-IMD-FL-1997-0041,1997-06-30,1997-06-30,Kerala,,
UEI-IMD-FL-1997-0042,1997-07-01,1997-07-12,Kerala,,30.0
UEI-IMD-FL-1997-0093,1997-07-01,1997-07-01,Meghalaya,,
UEI-IMD-FL-1997-0122,1997-07-01,1997-07-01,West Bengal,,
UEI-IMD-FL-1997-0015,1997-07-02,1997-07-02,Bihar,,
UEI-IMD-FL-1997-0011,1997-07-05,1997-07-05,Assam,,
UEI-IMD-FL-1997-0062,1997-07-05,1997-07-07,Maharashtra,,1.0
UEI-IMD-FL-1997-0123,1997-07-05,1997-07-08,West Bengal,,
UEI-IMD-FL-1997-0063,1997-07-06,1997-07-06,Maharashtra,,3.0
UEI-IMD-FL-1997-0012,1997-07-08,1997-07-21,Assam,,10.0
UEI-IMD-FL-1997-0064,1997-07-08,1997-07-14,Maharashtra,,
UEI-IMD-FL-1997-0112,1997-07-08,1997-07-14,Uttar Pradesh,,6.0
UEI-IMD-FL-1997-0034,1997-07-10,1997-07-26,Karnataka,,10.0
UEI-IMD-FL-1997-0124,1997-07-12,1997-07-12,West Bengal,,
UEI-IMD-FL-1997-0111,1997-07-13,1997-07-13,Uttar Pradesh,,11.0
UEI-IMD-FL-1997-0144,1997-07-13,1997-07-13,Delhi,,
UEI-IMD-FL-1997-0094,1997-07-14,1997-07-14,Mizoram,,
UEI-IMD-FL-1997-0125,1997-07-14,1997-07-14,West Bengal,,
UEI-IMD-FL-1997-0126,1997-07-16,1997-07-16,West Bengal,,
UEI-IMD-FL-1997-0016,1997-07-18,1997-07-18,Bihar,,15.0
UEI-IMD-FL-1997-0065,1997-07-19,1997-07-19,Maharashtra,,
UEI-IMD-FL-1997-0043,1997-07-20,1997-07-24,Kerala,,18.0
UEI-IMD-FL-1997-0017,1997-07-21,1997-07-21,Bihar,,5.0
UEI-IMD-FL-1997-0113,1997-07-21,1997-07-21,Uttar Pradesh,,10.0
UEI-IMD-FL-1997-0127,1997-07-22,1997-07-22,West Bengal,,
UEI-IMD-FL-1997-0044,1997-07-24,1997-07-26,Kerala,,
UEI-IMD-FL-1997-0100,1997-07-26,1997-07-27,Rajasthan,,
UEI-IMD-FL-1997-0020,1997-07-27,1997-07-27,Gujarat,,
UEI-IMD-FL-1997-0066,1997-07-27,1997-07-27,Maharashtra,,
UEI-IMD-FL-1997-0101,1997-07-29,1997-07-30,Rajasthan,,15.0
UEI-IMD-FL-1997-0018,1997-08-01,1997-08-21,Bihar,,65.0
UEI-IMD-FL-1997-0096,1997-08-01,1997-08-21,Odisha,,65.0
UEI-IMD-FL-1997-0102,1997-08-01,1997-08-03,Rajasthan,,17.0
UEI-IMD-FL-1997-0025,1997-08-02,1997-08-02,Himachal Pradesh,,8.0
UEI-IMD-FL-1997-0067,1997-08-02,1997-08-02,Maharashtra,,8.0
UEI-IMD-FL-1997-0026,1997-08-03,1997-08-03,Himachal Pradesh,,3.0
UEI-IMD-FL-1997-0128,1997-08-03,1997-08-03,West Bengal,,
UEI-IMD-FL-1997-0097,1997-08-04,1997-08-04,Punjab,,
UEI-IMD-FL-1997-0129,1997-08-05,1997-08-05,West Bengal,,
UEI-IMD-FL-1997-0130,1997-08-05,1997-08-13,West Bengal,,10.0
UEI-IMD-FL-1997-0131,1997-08-06,1997-08-06,West Bengal,,16.0
UEI-IMD-FL-1997-0021,1997-08-07,1997-08-07,Gujarat,,5.0
UEI-IMD-FL-1997-0068,1997-08-07,1997-08-07,Maharashtra,,5.0
UEI-IMD-FL-1997-0045,1997-08-08,1997-08-10,Kerala,,
UEI-IMD-FL-1997-0069,1997-08-10,1997-08-10,Maharashtra,,1.0
